ID,force,song1,song2,song3,song4,song5,song6,song7,song8,song9,song10,song11,song12,song13,song14,song15,song16,song17,song18,song19,song20,song21,song22,song23,song24,song25,song26,song27,song28,song29,song30,song31,song32,song33,song34,song35,song36,song37,song38,song39,song40,song41,song42,song43,song44,song45,song46,song47,song48,song49,song50,song51,song52,song53,song54,song55,song56,song57,song58,song59,song60,song61,song62,song63,song64,song65,song66,song67,song68,song69,song70,song71,song72,song73,song74,song75,song76,song77,song78,song79,song80,song81,song82,song83,song84,song85,song86,song87,song88,song89,song90,song91,song92,song93,song94,song95,song96,song97,song98,song99,song100
SV-7277-1370,19.179,9524744,9650680,9521905,0,9832910,0,9558256,9795657,9467231,9554490,0,9878774,9148148,9347181,9379474,9747494,9618320,9724380,9659972,9647979,0,9800918,9856219,9662875,9383690,9421287,9267254,0,9704370,0,9704165,0,9471074,0,9508718,9812064,9297196,9222058,0,0,9224732,0,0,0,9431137,9464668,9771186,9658138,0,9707198,9241819,9136438,9376269,0,9691272,9282519,9764227,0,0,9716786,9541055,9425845,9436830,9550408,0,0,0,0,9809960,9396681,9729638,9547766,9527191,9376459,9766320,9435517,0,9781956,9580988,9147601,9104552,9268590,9564152,9237347,9288405,0,0,0,9184165,9353333,9490789,9146855,9424103,9578036,9745461,0,0,9453649,0,0
SV-5894-0371,19.162,9622937,9582593,9784422,9424093,9464890,9733055,9716435,9729672,9754792,9508342,9497245,9805567,9693957,9636498,9578361,9818812,9811068,9846466,9701049,9766777,9684820,9706290,9660541,9829427,9733956,9560315,9529214,9621809,9329367,9575835,9562004,9674970,9540155,9551652,9566395,9497863,9496519,9594392,9419005,9566929,9447047,9630086,9691807,9706178,9487554,9591160,9467493,9561027,9557726,9713277,9619479,9741764,9405426,9677016,9215522,9585034,9616009,9529042,9749913,9539694,9730081,9470780,9408495,9663726,9467686,9557235,9297644,9414168,9461593,9517084,9324093,9541683,9220183,0,9717810,9493280,9529220,9556282,9491839,9515863,9556470,9615889,9621150,9591932,9399176,9452029,9420259,9403233,9190070,9036281,9548022,9553064,9624444,9539450,0,9364988,0,9610582,9393559,9597474
SV-2279-0922,19.178,9717203,9322084,9633171,9516616,9809644,9731162,9666280,9391230,9654480,9410720,9352617,9553381,9717348,9718100,9433174,9803392,9715648,9739178,9774075,9819643,9321734,9701665,9282655,9815831,9577579,9458850,9253814,9347620,9575446,9545844,9464671,9848189,9271373,9822314,9293887,9782025,9872389,9704672,9460856,9417737,0,9461570,9532924,9766621,9309419,9453038,9734816,9488222,9835593,9521393,9758723,9778365,9154030,9340755,9246541,9412698,9713531,9277864,9489479,9534103,9803252,9536166,9475982,9745966,0,9656227,0,0,0,9432801,9466950,9384072,9387287,9678230,9118822,9703959,9535308,9406819,9235905,9707457,9211248,9366382,9356772,9377736,9561728,9249077,9285014,9428631,0,9719157,0,0,0,0,9249172,0,9359110,9414470,0,0
SV-1571-3922,19.18,9605263,9499703,9767037,9690332,9570642,9672472,9685570,9691358,9714667,9637912,9344008,9759676,9450292,9777448,9443118,9718581,9818702,9718830,9634869,9756627,9457892,9773358,9724349,9846526,9687246,9701240,9534797,9539867,9640346,9505141,9495313,9820942,9601683,9708677,9601023,9725016,9682134,9650467,9411619,9552424,9194001,9656802,9502297,9694425,9560761,9493554,9377673,9445396,9772881,9805910,9756867,9751931,9596967,9610479,9333003,9723825,9518488,9358320,9589513,9754006,9798373,9660809,9583167,9806041,9584764,9659827,0,9457311,0,9517084,0,9628784,9675622,9587732,9700912,9805666,9677353,9602989,9677299,9563246,9485596,9612606,9660670,9631019,9582304,9575645,0,9413980,0,9074074,9411487,9696367,9628888,9694125,9703581,9502288,9546257,9687871,9485570,0
SV-1945-5324,19.177,9619258,9506054,9763560,9619218,9581478,9515335,9749602,9604086,9747663,9605801,0,9868141,9641680,9801566,9642004,9811102,9872137,9839067,9738909,9697762,9488484,9664051,9812633,9825525,9764419,9569913,9764636,9459150,9648481,9445158,9721038,9740448,9515867,9747933,9454804,9775318,9614849,9504672,9518943,9621703,9309258,0,9538667,9503275,9609137,9472549,9563729,9520861,9717584,9822429,9802839,9768198,9700124,9660123,9466778,9619047,9737911,9647887,9675750,9729780,9725910,9630289,9500212,9805218,9672897,9592110,9458244,9570844,9567198,9364605,9665819,9695616,9339093,9386127,9435517,9599908,9312212,9713818,9462163,9584362,0,0,9301835,0,0,9531576,0,0,0,0,0,0,9275252,9535637,0,0,0,0,9557416,0
SV-1290-8000,19.158,9619010,9582593,9707927,9669561,9648900,9663006,9589120,9680715,9629959,9597089,9593663,9740535,9686159,9804648,9620127,9776407,9839694,9757676,9723870,9793568,9720121,9877450,9702890,9877221,9780666,9624201,9652028,9645445,9551108,9571753,9634102,9735305,9629209,9683884,9617585,9716633,9844547,9633644,9382077,9544135,9550140,9702013,9578866,9632303,9509516,9476979,9501710,9436830,9738983,9737538,9762435,9733631,9650837,9753257,9404644,9707337,9754164,9481946,9658502,9632873,9793495,9505516,9682413,9737384,9748673,9697624,9297644,9618528,9398779,9423690,9398720,9701368,9652686,9698340,9741466,9674900,9630681,9633348,9795994,9464359,9707361,9668417,9807849,9665415,9539094,9503690,9244622,9498171,9402546,9418848,9556299,9353304,9378134,0,9562146,9747446,9604444,9641988,9535058,9405034
SV-6742-0913,19.197,9673998,9692125,9803546,0,9689086,9727375,9641203,9738186,9714667,9710685,9772437,9781676,9829376,0,9789899,9791984,9774324,9808306,9804432,9704992,9803422,9762633,9825525,9853777,9678692,0,9566656,9424012,9391602,9042898,9828727,9614637,9603305,9406805,9756874,9733178,9388785,9244214,9761707,9198687,9767776,9599923,9707857,9370424,9333333,9572284,9648822,9694915,9772827,9831106,9556730,9810454,9577210,9421936,9793899,9721657,9010989,9498102,9526649,9770731,9773191,9579198,9764847,9767405,9712023,0,9296094,9118808,0,9151385,0,0,9783710,9762077,9661120,9572629,9671735,9662134,9277549,9528890,9502589,9701375,9565843,9226937,9504752,9544900,0,9491419,0,9355566,0,9529190,9449489,9677777,9579423,0,0,9674494,9525303,9175217
SV-7348-8856,19.235,9721131,0,9857440,0,0,9429012,9721355,0,9872394,9737883,0,9539321,9683206,9820569,9742126,9717514,9541099,9327012,9803471,9917609,9835499,0,0,0,0,9556247,0,0,9684775,0,0,9266473,0,0,0,9566823,0,9289991,9372591,9583050,9770621,9674664,0,0,0,9861912,9695245,0,0,9808130,9836937,0,0,9072805,0,0,0,0,0,9719499,0,0,0,0,0,9520305,9723264,0,0,0,9001426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9593232,0,0,0,9112971,9533492
SV-6239-8049,19.175,9633360,0,9718358,9362041,9534686,9674365,9697145,9748829,9612126,9673411,9271791,9872394,9579901,9708209,9459029,9780262,9820610,9742878,9648562,9565406,0,9722479,0,9812600,0,0,9769259,9656476,9580854,9395886,9122433,9468438,9525283,9770661,9296776,9681421,9626450,9272834,9453471,9558640,0,9749280,0,9701141,9302030,9366666,9593669,9376873,9628774,9821349,9797698,9849532,9445331,9538529,9523221,9659934,9664770,9393123,9775784,9638464,9660809,9589122,9823206,9466125,9661627,9468950,9561762,9460136,9255863,9423766,9813237,9590246,9726258,9698510,9709821,9420831,9879451,9499381,9650361,9677023,9715447,9286008,9359778,9493143,9513089,9552113,9281978,9575766,0,9690649,0,9372616,9578036,9284818,0,0,0,0,0,0
SV-5999-0714,19.2,9491358,9739490,9833101,0,0,0,9529320,9827586,9616584,9313099,9090909,9817099,9274853,9715628,0,0,0,9470958,0,9550195,0,9502775,9802907,0,9532130,0,9193192,9386154,9166666,9244772,9307123,0,0,9448356,9329466,9441121,9190054,9388727,0,9473900,9680321,9548354,0,9828813,9397882,0,9499796,0,0,9328063,9579439,9091444,9004829,0,9861788,9608650,0,9451043,9518201,0,9197774,0,0,0,0,0,0,9504177,0,0,0,9499381,0,9139855,9347233,0,9103321,0,9220160,9126984,0,0,0,0,0,0,0,9178168,0,0,0,0,9098005,0,0,0,0,9155013,9503211,9623153
